count,pattern_len,text_len,dictionary_len,function,time[ns]
0,6,600,4,python_naive_search,51900
0,7,600,4,naive_search,134700
0,7,600,4,sundays_search,68500
0,7,600,4,kmp_search,74700
0,7,600,4,python_naive_search,52700
0,8,600,4,naive_search,137600
0,8,600,4,sundays_search,59900
0,8,600,4,kmp_search,73300
0,8,600,4,python_naive_search,50300
0,9,600,4,naive_search,133200
0,9,600,4,sundays_search,38600
0,9,600,4,kmp_search,72500
0,9,600,4,python_naive_search,51700
0,10,600,4,naive_search,136500
0,10,600,4,sundays_search,64200
0,10,600,4,kmp_search,72300
0,10,600,4,python_naive_search,50100
0,11,600,4,naive_search,134600
0,11,600,4,sundays_search,50100
0,11,600,4,kmp_search,61800
0,11,600,4,python_naive_search,49800
1,5,650,4,naive_search,147400
1,5,650,4,sundays_search,66700
1,5,650,4,kmp_search,80400
1,5,650,4,python_naive_search,55900
0,6,650,4,naive_search,147100
0,6,650,4,sundays_search,72300
0,6,650,4,kmp_search,78100
0,6,650,4,python_naive_search,56700
0,7,650,4,naive_search,145100
0,7,650,4,sundays_search,66500
0,7,650,4,kmp_search,75600
0,7,650,4,python_naive_search,56000
0,8,650,4,naive_search,145900
0,8,650,4,sundays_search,61800
0,8,650,4,kmp_search,76200
0,8,650,4,python_naive_search,53400
0,9,650,4,naive_search,144600
0,9,650,4,sundays_search,68800
0,9,650,4,kmp_search,71300
0,9,650,4,python_naive_search,55300
0,10,650,4,naive_search,147600
0,10,650,4,sundays_search,48300
0,10,650,4,kmp_search,69400
0,10,650,4,python_naive_search,55100
0,11,650,4,naive_search,145900
0,11,650,4,sundays_search,49100
0,11,650,4,kmp_search,82300
0,11,650,4,python_naive_search,55900
2,5,700,4,naive_search,161600
2,5,700,4,sundays_search,67000
2,5,700,4,kmp_search,84000
2,5,700,4,python_naive_search,58400
0,6,700,4,naive_search,158900
0,6,700,4,sundays_search,74400
0,6,700,4,kmp_search,81500
0,6,700,4,python_naive_search,58500
0,7,700,4,naive_search,156100
0,7,700,4,sundays_search,58500
0,7,700,4,kmp_search,83900
0,7,700,4,python_naive_search,60200
0,8,700,4,naive_search,159600
0,8,700,4,sundays_search,66800
0,8,700,4,kmp_search,85100
0,8,700,4,python_naive_search,58800
0,9,700,4,naive_search,153400
0,9,700,4,sundays_search,93100
0,9,700,4,kmp_search,83800
0,9,700,4,python_naive_search,60000
0,10,700,4,naive_search,159700
0,10,700,4,sundays_search,90200
0,10,700,4,kmp_search,83800
0,10,700,4,python_naive_search,57100
0,11,700,4,naive_search,155400
0,11,700,4,sundays_search,64700
0,11,700,4,kmp_search,75400
0,11,700,4,python_naive_search,59400
1,5,750,4,naive_search,172200
1,5,750,4,sundays_search,74100
1,5,750,4,kmp_search,90300
1,5,750,4,python_naive_search,64200
0,6,750,4,naive_search,169100
0,6,750,4,sundays_search,105200
0,6,750,4,kmp_search,85900
0,6,750,4,python_naive_search,64800
0,7,750,4,naive_search,168400
0,7,750,4,sundays_search,63400
0,7,750,4,kmp_search,76900
0,7,750,4,python_naive_search,64400
0,8,750,4,naive_search,170100
0,8,750,4,sundays_search,70200
0,8,750,4,kmp_search,88500
0,8,750,4,python_naive_search,62100
0,9,750,4,naive_search,168600
0,9,750,4,sundays_search,58600
0,9,750,4,kmp_search,89500
0,9,750,4,python_naive_search,64600
0,10,750,4,naive_search,170000
0,10,750,4,sundays_search,53100
0,10,750,4,kmp_search,77600
0,10,750,4,python_naive_search,63000
0,11,750,4,naive_search,168400
0,11,750,4,sundays_search,77000
0,11,750,4,kmp_search,78100
0,11,750,4,python_naive_search,62000
1,5,800,4,naive_search,181000
1,5,800,4,sundays_search,105000
1,5,800,4,kmp_search,85200
1,5,800,4,python_naive_search,68900
0,6,800,4,naive_search,181600
0,6,800,4,sundays_search,77900
0,6,800,4,kmp_search,95900
0,6,800,4,python_naive_search,69400
1,7,800,4,naive_search,178700
1,7,800,4,sundays_search,74300
1,7,800,4,kmp_search,84200
1,7,800,4,python_naive_search,68000
0,8,800,4,naive_search,180000
0,8,800,4,sundays_search,97000
0,8,800,4,kmp_search,84700
0,8,800,4,python_naive_search,64800
0,9,800,4,naive_search,178800
0,9,800,4,sundays_search,97000
0,9,800,4,kmp_search,96500
0,9,800,4,python_naive_search,71000
0,10,800,4,naive_search,182100
0,10,800,4,sundays_search,78200
0,10,800,4,kmp_search,84300
0,10,800,4,python_naive_search,66900
0,11,800,4,naive_search,175800
0,11,800,4,sundays_search,91200
0,11,800,4,kmp_search,141300
0,11,800,4,python_naive_search,126300
1,5,850,4,naive_search,355100
1,5,850,4,sundays_search,158000
1,5,850,4,kmp_search,102200
1,5,850,4,python_naive_search,72500
0,6,850,4,naive_search,190400
0,6,850,4,sundays_search,74600
0,6,850,4,kmp_search,101700
0,6,850,4,python_naive_search,71500
0,7,850,4,naive_search,192100
0,7,850,4,sundays_search,76500
0,7,850,4,kmp_search,112700
0,7,850,4,python_naive_search,73500
0,8,850,4,naive_search,191200
0,8,850,4,sundays_search,56100
0,8,850,4,kmp_search,100700
0,8,850,4,python_naive_search,70000
0,9,850,4,naive_search,191600
0,9,850,4,sundays_search,72200
0,9,850,4,kmp_search,102600
0,9,850,4,python_naive_search,71700
0,10,850,4,naive_search,188600
0,10,850,4,sundays_search,91700
0,10,850,4,kmp_search,89400
0,10,850,4,python_naive_search,71000
0,11,850,4,naive_search,188700
0,11,850,4,sundays_search,68300
0,11,850,4,kmp_search,100900
0,11,850,4,python_naive_search,74300
3,5,900,4,naive_search,202700
3,5,900,4,sundays_search,116000
3,5,900,4,kmp_search,93100
3,5,900,4,python_naive_search,75100
0,6,900,4,naive_search,207000
0,6,900,4,sundays_search,93100
0,6,900,4,kmp_search,107500
0,6,900,4,python_naive_search,76700
0,7,900,4,naive_search,201200
0,7,900,4,sundays_search,94900
0,7,900,4,kmp_search,94200
0,7,900,4,python_naive_search,77800
0,8,900,4,naive_search,202100
0,8,900,4,sundays_search,70100
0,8,900,4,kmp_search,95200
0,8,900,4,python_naive_search,78300
0,9,900,4,naive_search,200900
0,9,900,4,sundays_search,52700
0,9,900,4,kmp_search,92500
0,9,900,4,python_naive_search,77400
0,10,900,4,naive_search,202200
0,10,900,4,sundays_search,59800
0,10,900,4,kmp_search,105000
0,10,900,4,python_naive_search,74300
0,11,900,4,naive_search,195300
0,11,900,4,sundays_search,80800
0,11,900,4,kmp_search,108000
0,11,900,4,python_naive_search,75400
0,5,950,4,naive_search,213700
0,5,950,4,sundays_search,91400
0,5,950,4,kmp_search,110800
0,5,950,4,python_naive_search,81100
0,6,950,4,naive_search,217500
0,6,950,4,sundays_search,92500
0,6,950,4,kmp_search,98700
0,6,950,4,python_naive_search,81300
0,7,950,4,naive_search,213000
0,7,950,4,sundays_search,86500
0,7,950,4,kmp_search,112400
0,7,950,4,python_naive_search,80500
0,8,950,4,naive_search,214400
0,8,950,4,sundays_search,83600
0,8,950,4,kmp_search,102800
0,8,950,4,python_naive_search,77700
0,9,950,4,naive_search,215800
0,9,950,4,sundays_search,64800
0,9,950,4,kmp_search,108000
0,9,950,4,python_naive_search,80900
0,10,950,4,naive_search,210700
0,10,950,4,sundays_search,105000
0,10,950,4,kmp_search,97700
0,10,950,4,python_naive_search,80200
0,11,950,4,naive_search,213500
0,11,950,4,sundays_search,74700
0,11,950,4,kmp_search,101800
0,11,950,4,python_naive_search,79100
0,5,100,5,naive_search,21700
0,5,100,5,sundays_search,12600
0,5,100,5,kmp_search,14600
0,5,100,5,python_naive_search,11000
0,6,100,5,naive_search,22400
